,Unnamed: 0,molecule,temperature,restart,sim_liq_density,sim_vap_density,Hvap,sim_Pvap,liq_enthalpy,vap_enthalpy,sim_Hvap,sim_Tc,sim_rhoc
145,145,R161,280,2,723.302053019,22.701485508100003,16.379087392581017,9.22050620442,-20655.4564199,-6884.010737160001,340.8085267757887,352.5939117413568,307.6812554438418
146,146,R161,280,3,721.508506959,22.1286240513,16.374243656669073,9.03843416514,-20923.9088205,-6703.99075407,340.7077405438898,352.5939117413568,307.6812554438418
147,147,R161,300,1,669.964895424,41.1440084486,14.335724686541466,16.30047876557,-18991.6762318,-7048.669314140001,298.29117420159315,352.5939117413568,307.6812554438418
148,148,R161,300,2,668.768165371,40.5781427259,14.369120238886238,16.11700980274,-19201.1806792,-6909.815236379999,298.9860535146275,352.5939117413568,307.6812554438418
149,149,R161,300,3,667.673509995,38.9602677083,14.41273105621649,15.60847727049,-19679.0053976,-6583.04452741,299.8934873691255,352.5939117413568,307.6812554438418
150,150,R170,210,1,515.415249162,7.12665874182,14.215595004967655,3.81669680599,-1846.5208808197,2054.3803645000003,472.765805479652,294.75964785499997,211.06605588645021
151,151,R170,210,2,515.609483218,7.164861494909999,14.224905894227774,3.83840915597,-1845.2697895989,2065.19565856,473.0754562581986,294.75964785499997,211.06605588645021
152,152,R170,210,3,515.9657291630001,7.327848519550001,14.22533757732774,3.92164384871,-1833.556337446,2115.21225269,473.0898126751053,294.75964785499997,211.06605588645021
153,153,R170,230,1,481.571597198,15.0902609667,12.90023970171085,8.34587952161,-551.310919898146,2288.14572649,429.0212412022632,294.75964785499997,211.06605588645021
154,154,R170,230,2,482.483507147,15.322537804399998,12.889341955691416,8.444392085280002,-551.8462640926866,2326.89717019,428.6588165782506,294.75964785499997,211.06605588645021
155,155,R170,230,3,483.129326463,15.0985984243,12.941526759557746,8.32881879754,-578.860962433277,2290.08318609,430.39431838630304,294.75964785499997,211.06605588645021
