Run,Iter,Min Obj,Param Min,Min Obj Cum.,Param Cum.,jac evals,Termination,Run Time
104,390,4620376.797749038,"[ 3.1997987   4.          1.5         3.07877187  2.78172321  2.
 58.5601177  75.         10.         29.94475257 50.         47.16926107]",4620376.797749038,"[ 3.1997987   4.          1.5         3.07877187  2.78172321  2.
 58.5601177  75.         10.         29.94475257 50.         47.16926107]",30,0,226.21133375167847
181,449,4620377.00926788,"[ 3.1997819   4.          1.5         3.07875757  2.78169595  2.0000001
 58.56059623 75.         10.         29.94319437 50.         47.1697335 ]",4620376.797790405,"[ 3.1997819   4.          1.5         3.07875757  2.78169605  2.
 58.56059623 75.         10.         29.94319437 50.         47.1697335 ]",35,0,266.7285213470459
70,439,4620376.9859339055,"[ 3.19979324  4.          1.5         3.0787734   2.78169849  2.
 58.56006532 75.          9.9999988  29.94386743 50.         47.16961699]",4620376.797798416,"[ 3.19979324  4.          1.5         3.0787734   2.78169849  2.
 58.56006652 75.         10.         29.94386743 50.         47.16961699]",34,0,272.42578291893005
83,377,4620376.797809626,"[ 3.19979418  4.          1.5         3.07877075  2.78168391  2.
 58.5603377  75.         10.         29.94446009 50.         47.16922318]",4620376.797809626,"[ 3.19979418  4.          1.5         3.07877075  2.78168391  2.
 58.5603377  75.         10.         29.94446009 50.         47.16922318]",29,0,231.47535252571106
191,457,4620376.797824891,"[ 3.19977439  4.          1.5         3.07877082  2.78171448  2.
 58.56092592 75.         10.         29.94418269 50.         47.16974001]",4620376.797824891,"[ 3.19977439  4.          1.5         3.07877082  2.78171448  2.
 58.56092592 75.         10.         29.94418269 50.         47.16974001]",36,0,350.99513936042786
43,475,4620377.009330059,"[ 3.19978748  4.          1.5         3.07876099  2.78168834  2.0000001
 58.56052311 75.         10.         29.94338462 50.         47.1697435 ]",4620376.797848263,"[ 3.19978748  4.          1.5         3.07876099  2.78168844  2.
 58.56052311 75.         10.         29.94338462 50.         47.1697435 ]",37,0,295.8659303188324
29,435,4620376.797882668,"[ 3.19979706  4.          1.5         3.07875709  2.78167367  2.
 58.56023188 75.         10.         29.9436632  50.         47.16960698]",4620376.797882668,"[ 3.19979706  4.          1.5         3.07875709  2.78167367  2.
 58.56023188 75.         10.         29.9436632  50.         47.16960698]",34,0,270.73080706596375
92,422,4620376.797890536,"[ 3.19980244  4.          1.5         3.07874951  2.78171904  2.
 58.56007104 75.         10.         29.94390111 50.         47.16955273]",4620376.797885473,"[ 3.19980244  4.          1.5         3.07874961  2.78171894  2.
 58.56007104 75.         10.         29.94390111 50.         47.16955273]",33,0,267.1343548297882
142,416,4620376.797886603,"[ 3.19980924  4.          1.5         3.07877776  2.78169532  2.
 58.55959735 75.         10.         29.94560903 50.         47.16940448]",4620376.797886603,"[ 3.19980924  4.          1.5         3.07877776  2.78169532  2.
 58.55959735 75.         10.         29.94560903 50.         47.16940448]",32,0,242.23150992393494
112,411,4620376.797889909,"[ 3.19980028  4.          1.5         3.07878186  2.78172797  2.
 58.55972227 75.         10.         29.94534783 50.         47.16974512]",4620376.797889909,"[ 3.19980028  4.          1.5         3.07878186  2.78172797  2.
 58.55972227 75.         10.         29.94534783 50.         47.16974512]",32,0,242.0397868156433
169,546,4620376.797891094,"[ 3.19977863  4.          1.5         3.07877683  2.78169131  2.
 58.56089786 75.         10.         29.94448041 50.         47.16938322]",4620376.797891094,"[ 3.19977863  4.          1.5         3.07877683  2.78169131  2.
 58.56089786 75.         10.         29.94448041 50.         47.16938322]",42,0,318.338933467865
